OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Weak foot,Skill moves
91,89,88,86,90,45,76,88,89,93,94,83,78,83,88,86,89,69,88,81,88,90,86,91,94,90,93,55,59,38,43,41,79,88,75,63,3,4
91,82,89,90,91,72,80,81,82,91,91,86,88,87,89,88,92,85,91,90,89,91,90,89,91,92,92,78,74,60,81,64,85,85,81,70,5,5
91,97,90,81,92,37,76,97,97,91,92,91,86,87,82,78,83,69,87,74,80,92,93,82,91,93,88,38,78,26,34,32,90,83,77,61,4,5
91,85,87,86,91,77,75,84,86,91,91,79,89,80,70,74,90,77,91,90,78,92,93,86,91,91,85,88,54,75,81,67,76,82,75,64,5,4
90,91,88,83,93,50,69,93,89,95,90,91,85,79,80,80,84,68,89,78,85,94,94,81,91,94,88,45,74,49,49,39,84,76,69,58,5,5
90,65,80,86,84,86,85,65,65,76,74,92,89,71,62,76,84,64,93,91,86,84,66,67,93,90,93,84,81,88,87,82,83,91,83,85,4,3
90,89,87,88,90,47,76,90,88,87,86,88,88,89,79,90,89,85,89,84,92,92,94,75,83,90,84,35,71,45,50,46,84,87,74,66,5,5
90,73,60,72,72,90,87,66,78,47,52,81,64,45,62,53,70,70,80,83,60,70,54,50,90,77,90,91,88,91,91,87,89,75,93,85,3,2
90,80,86,83,90,78,85,81,80,91,88,86,87,77,74,66,90,68,90,89,73,91,83,83,91,91,90,82,75,77,79,77,85,94,80,85,4,4
90,86,91,70,80,45,88,79,92,95,94,94,83,90,90,58,74,62,77,66,77,79,71,69,93,82,86,43,83,38,47,29,92,76,93,88,3,3
89,91,84,85,87,53,75,90,91,89,87,83,82,72,78,86,87,79,85,80,85,88,88,79,87,88,85,56,74,49,54,38,82,91,65,77,4,4
89,92,79,82,83,82,79,89,95,84,80,82,77,74,68,85,78,80,86,73,78,82,81,78,90,85,84,85,71,82,85,79,84,95,72,77,4,4
89,82,88,70,87,39,73,81,82,90,90,88,86,84,76,64,69,65,81,60,64,89,81,73,89,90,84,34,90,29,37,35,91,72,79,55,3,4
89,85,81,86,90,23,53,88,83,88,83,83,82,65,69,89,88,65,88,84,87,92,93,81,88,90,84,18,33,23,20,28,58,73,45,45,3,5
89,72,80,86,90,75,70,75,69,81,80,77,84,62,88,78,90,69,90,89,81,91,91,89,88,88,88,85,52,74,79,69,66,87,59,77,3,4
89,78,84,86,90,76,79,81,76,81,89,75,89,56,80,84,88,72,89,89,75,90,92,93,86,89,84,79,61,75,80,77,73,93,78,65,4,4
89,78,82,83,87,86,83,78,78,80,80,89,91,58,70,69,84,66,90,92,75,86,82,87,86,90,84,84,84,86,87,85,90,78,85,82,4,4
89,77,73,85,91,78,77,79,76,86,77,68,76,56,53,76,91,62,90,88,79,91,89,92,87,91,90,87,50,74,85,79,72,90,73,72,4,4
89,72,74,89,84,83,79,75,70,78,68,78,83,69,71,92,86,79,89,92,85,82,83,84,89,86,86,85,72,82,86,85,77,92,69,89,4,3
89,71,89,71,81,32,85,72,71,91,93,93,84,77,75,59,79,63,78,68,58,82,62,48,88,89,86,25,91,23,30,20,92,83,91,71,4,3
89,64,92,83,82,48,82,62,66,94,93,91,89,89,95,80,86,69,86,79,82,80,67,72,94,87,92,42,90,46,44,38,87,76,86,80,4,3
89,88,84,84,84,83,85,84,92,86,80,91,91,78,59,78,86,69,88,88,76,84,77,68,89,88,84,86,63,82,87,86,82,93,82,81,4,3
89,75,68,79,76,90,82,73,77,70,61,78,78,49,64,81,62,85,85,84,82,68,73,86,90,82,91,90,83,91,90,89,88,75,85,84,3,2
89,95,84,81,91,29,69,95,95,86,88,81,83,73,74,81,85,62,83,77,79,93,94,84,85,90,83,26,50,32,25,18,74,84,65,58,4,5
89,80,82,88,90,54,67,82,79,85,84,78,84,81,66,87,91,74,91,87,83,90,88,87,88,92,86,55,43,64,49,44,65,87,59,63,4,4
88,85,87,77,84,39,74,88,82,91,90,84,83,91,82,71,79,72,85,70,71,84,84,68,82,87,86,27,91,37,35,30,95,71,85,44,4,4
88,74,89,79,85,44,84,73,74,90,92,89,82,86,90,76,81,84,84,70,79,84,77,83,89,88,87,49,87,35,42,19,91,76,89,81,4,4
88,92,85,81,88,56,79,91,93,88,90,79,84,74,71,79,84,70,87,74,74,87,89,84,84,89,88,55,81,46,60,49,89,80,89,52,4,4
88,92,87,79,89,45,81,91,92,88,89,86,86,84,80,73,74,72,88,75,74,89,85,86,88,91,80,43,79,41,42,39,92,85,83,68,5,4
88,88,82,85,87,60,69,87,88,86,83,81,83,61,89,92,87,80,83,80,80,84,91,90,88,88,88,65,50,60,60,57,71,91,61,60,3,4
88,81,88,75,84,51,83,83,80,93,93,87,80,92,74,68,79,65,78,72,84,81,88,87,92,84,88,48,86,45,50,45,91,86,80,87,4,4
88,83,89,73,85,39,76,86,80,89,91,91,83,81,86,68,80,64,79,60,75,88,73,69,87,87,88,38,82,35,34,29,90,82,79,58,4,4
88,87,88,64,88,22,71,88,87,91,92,87,79,89,89,47,72,66,75,51,64,88,90,83,84,90,89,20,77,18,12,10,90,82,82,24,3,3
88,80,82,80,90,66,65,85,75,88,86,80,82,75,61,70,84,59,87,79,75,94,94,93,89,85,83,65,75,64,66,61,80,73,61,59,4,5
88,64,44,64,65,88,84,61,67,52,37,62,39,33,51,42,63,31,79,76,57,64,51,37,88,71,79,87,90,89,88,87,88,71,89,86,2,2
88,85,79,86,91,46,75,85,85,87,78,80,78,86,73,80,90,77,87,85,89,93,90,94,77,91,84,49,56,49,39,44,75,90,70,70,5,5
88,84,82,85,88,60,73,87,81,86,84,79,81,79,87,90,86,74,85,77,88,89,85,88,88,88,82,62,49,60,62,60,72,86,68,68,4,3
88,71,52,67,68,88,84,69,72,39,51,60,46,60,51,59,51,40,83,68,69,57,66,70,91,80,80,88,85,91,87,86,82,72,88,87,3,2
